Sample,Observed_OTUs,Shannon_Index,Simpson_Index,Inverse_Simpson_Index,Pielou_Evenness
s21004-1-1_kw210913_bmud_slee_01,4,1.1447563414604334,0.6421628134064332,1.5572374779775466,0.8257671484255801
s21004-1-2_kw210913_bmud_slee_02,6,1.2981979979532317,0.6691467939839805,1.4944403963234714,0.7245380980252529
s21004-1-3_kw210913_bmud_slee_03,5,1.2147112976794154,0.6276907599858139,1.593141183124315,0.7547425646524608
s21004-1-4_kw210913_bmud_slee_04,4,0.9157278594161367,0.5512463477030118,1.8140709760108154,0.6605580207917632
s21004-1-5_kw210913_bmud_slee_05,3,0.6793123278967225,0.3912557670445106,2.555872869,0.6183367279827892
s21004-1-6_kw210913_bmud_slee_06,6,1.197464540146299,0.5689874693776467,1.7575079484505889,0.6683176847739521
s21004-2-1_kw210913_wout_slee_01,9,1.8408445986703386,0.8198119686247037,1.2197919014009704,0.8378044819169398
s21004-2-2_kw210913_wout_slee_02,7,1.3534008928156498,0.6370317503156382,1.5697804693479052,0.6955104753797031
s21004-2-3_kw210913_wout_slee_03,6,1.352476373,0.6805156958369847,1.469473821276191,0.7548314358827574
s21004-2-4_kw210913_wout_slee_04,9,1.8103457815693549,0.7997008380436007,1.2504676154228047,0.8239238720714235
s21004-2-5_kw210913_wout_slee_05,8,0.45578883962305633,0.17487167690289662,5.718478931012274,0.21918809953890617
s21004-2-6_kw210913_wout_slee_06,6,1.3959195754903373,0.6647588665779742,1.5043048694450216,0.7790775488920633
s21004-5-1_kw210929_kwout_1_slee_01,4,1.2260458483263472,0.6742976066957336,1.4830246912788385,0.8844051326414617
s21004-5-2_kw210929_kwout_1_slee_02,8,1.8279084246686303,0.8165540835797457,1.2246586234876613,0.8790381398228635
s21004-5-3_kw210929_kwout_2_slee_01,6,1.7257567028850436,0.8115394305847821,1.232226016768423,0.9631631547221864
s21004-5-4_kw210929_kwout_2_slee_02,2,0.46311057770380304,0.28823381203920384,3.4694055944553304,0.6681273338364996
s21004-5-5_kw210929_kwout_3_slee_01,4,0.9512790437328226,0.5563579604498856,1.7974039576810832,0.6862027794474692
s21004-5-6_kw210929_kwout_3_slee_02,7,1.528338822955553,0.71984,1.389197599466548,0.7854107876961945
s2215_1_kw2209_bmud_slee_1,24,1.150906412260735,0.5627239898545842,1.7770701410089413,0.3621418873621563
s2215_1_kw2209_bmud_slee_2,27,1.2226024701784146,0.5979573804776152,1.672359991946676,0.3709535756424204
s2215_1_kw2209_bmud_slee_3,44,1.9934282364769418,0.7995552851104613,1.2506952535018847,0.5267781029284433
s2215_1_kw2209_bmud_slee_4,33,1.633387989642997,0.7200765632820745,1.3887412130760761,0.46714842194075884
s2215_1_kw2209_bmud_slee_5,37,1.8457297805529775,0.768533023,1.3011802622987523,0.5111525172283342
s2215_1_kw2209_bmud_slee_6,29,1.4136269949425986,0.634550095,1.5759197075253621,0.41981075210379626
s2215_2_kw2209_wout1_slee_1,47,1.812419391017594,0.6548401315482206,1.5270902802424882,0.47074023609188403
s2215_2_kw2209_wout1_slee_2,24,0.7306669626990061,0.2522803990482808,3.963843420941404,0.22991019086011197
s2215_2_kw2209_wout1_slee_3,29,1.8053662085884887,0.6421477976006488,1.5572738919863107,0.5361471933981341
s2215_2_kw2209_wout1_slee_4,11,1.1683279642715856,0.5546459114299016,1.802952081,0.48723060490800074
s2215_2_kw2209_wout1_slee_5,5,1.2083474628690989,0.6389988894979614,1.5649479466007592,0.7507884917670445
s2215_2_kw2209_wout1_slee_6,6,0.872261083,0.4431396741500532,2.256624848402507,0.48681817943360994
s2215_3_kw2209_wout2_far_slee_1,36,2.3899006869887875,0.863945379,1.1574805823567125,0.6669144849052843
s2215_3_kw2209_wout2_far_slee_2,36,2.2809794371008123,0.8412462884278844,1.1887125253994208,0.6365194313954229
s2215_3_kw2209_wout2_far_slee_3,36,1.9339958247181042,0.7725616542656877,1.2943950744623616,0.5396918107404587
s2215_3_kw2209_wout2_far_slee_4,39,2.1187542307653486,0.8249242497697529,1.2122325174452238,0.5783318080654375
s2215_3_kw2209_wout2_far_slee_5,33,2.1157191607396757,0.8094371096301156,1.2354264316556538,0.6050949765005844
s2215_3_kw2209_wout2_far_slee_6,45,2.265050392989309,0.8198829144638992,1.219686350768603,0.5950226475491853
s2212_nt_bmud_slee_1,70,2.4716144855745315,0.840593014,1.189636343962765,0.5817623287209547
s2212_nt_bmud_slee_2,62,2.5461240928299183,0.8535062849665244,1.1716375352048185,0.6169229919083675
s2212_nt_bmud_slee_3,47,1.698617494164192,0.6117175448308667,1.6347414071252266,0.44118243503437227
s2212_nt_bmud_slee_4,56,2.6206053897497243,0.8801528268336057,1.1361663219301932,0.6510252000542898
s2212_nt_bmud_slee_5,60,2.097493465490639,0.7631653721542251,1.3103319889596798,0.5122904126936201
s2212_nt_bmud_slee_6,57,1.964292219379603,0.6994867858513528,1.4296195728456675,0.48584400475131095
s2212_nt_wout_slee_1,33,1.0878580946838257,0.40191252190195303,2.4881036183389953,0.31112705336966695
s2212_nt_wout_slee_2,45,2.1989864918556394,0.7445675590845728,1.3430614694380116,0.5776678383662845
s2212_nt_wout_slee_3,62,1.9060368888297428,0.7127939689028278,1.4029299399646378,0.4618305853418238
s2212_nt_wout_slee_4,51,1.7045215834413452,0.6306152275644945,1.5857530175129297,0.4335191187662862
s2212_nt_wout_slee_5,51,1.5182001856761724,0.5250745962855292,1.9044912990919334,0.3861311074021931
s2212_nt_wout_slee_6,65,2.2590213275822943,0.7767634032919971,1.2873932986053476,0.5411623746252876
s2312-1-nt230808-bmud-1,48,1.957881656962345,0.7218104456080066,1.3854052765302731,0.5057556172995454
s2312-1-nt230808-bmud-2,39,2.2482867269793494,0.8373032691137695,1.1943103973049505,0.6136887936236973
s2312-1-nt230808-bmud-3,36,0.9769633963657579,0.3579738545894573,2.7935001039303584,0.2726268266316638
s2312-1-nt230808-bmud-4,56,2.0769823983056726,0.7763868708283108,1.288017659202713,0.5159753874639345
s2312-1-nt230808-bmud-5,49,1.625649991779196,0.6796926353462712,1.4712532518327897,0.41770941802436384
